Year,Deaths,Cumdeaths,Daynum
2020,1,1,70
2020,3,4,71
2020,1,5,72
2020,3,8,73
2020,4,12,74
2020,6,18,75
2020,11,29,76
2020,11,40,77
2020,21,61,78
2020,27,88,79
2020,31,119,80
2020,39,158,81
2020,41,199,82
2020,78,277,83
2020,74,351,84
2020,98,449,85
2020,101,550,86
2020,123,673,87
2020,133,806,88
2020,138,944,89
2020,168,1112,90
2020,185,1297,91
2020,247,1544,92
2020,210,1754,93
2020,232,1986,94
2020,274,2260,95
2020,233,2493,96
2020,275,2768,97
2020,304,3072,98
2020,319,3391,99
2020,273,3664,100
2020,320,3984,101
2020,290,4274,102
2020,344,4618,103
2020,283,4901,104
2020,277,5178,105
2020,275,5453,106
2020,254,5707,107
2020,203,5910,108
2020,211,6121,109
2020,214,6335,110
2020,199,6534,111
2020,202,6736,112
2020,191,6927,113
2020,173,7100,114
2020,147,7247,115
2020,155,7402,116
2020,176,7578,117
2020,125,7703,118
2020,114,7817,119
2020,98,7915,120
2020,84,7999,121
2020,96,8095,122
2020,73,8168,123
2020,96,8264,124
2020,97,8361,125
2020,81,8442,126
2020,75,8517,127
2020,78,8595,128
2020,70,8665,129
2020,70,8735,130
2020,73,8808,131
2020,61,8869,132
2020,48,8917,133
2020,36,8953,134
2020,6,8959,135
